date|time|description|vendor|amount
2022-11-15|08:30:00|Salary Payment|Apple Inc.|3500.00
2020-07-22|09:45:00|Utilities Bill Payment|Duke Energy|-150.00
2024-09-05|10:20:00|Online Shopping|Walmart Inc.|-89.99
2023-05-12|11:30:00|Rent Payment|Real Estate Management|-1200.00
2021-04-03|12:45:00|Freelance Work Payment|Fiverr|800.00
2024-08-18|14:00:00|Dinner Expense|Chipotle Mexican Grill|-45.50
2020-12-09|15:30:00|Credit Card Payment|Visa Inc.|-200.00
2023-02-28|16:45:00|Gasoline Expense|Exxon Mobil Corporation|-40.00
2022-06-21|18:00:00|Internet Subscription Renewal|AT&T Inc.|-75.00
2021-10-11|19:15:00|Movie Tickets Purchase|AMC Theatres|-30.00
2023-01-07|20:30:00|Grocery Shopping|The Kroger Co.|-100.00
2020-03-18|21:45:00|Medical Bill Payment|UnitedHealth Group|-350.00
2024-07-30|23:00:00|Withdrawal from ATM|Bank of America|-200.00
2022-04-25|08:30:00|Interest Received|Wells Fargo & Company|50.00
2023-08-14|09:45:00|Online Course Payment|Udemy|-199.00
2021-07-07|10:00:00|Investment Dividend|Vanguard Group|250.00
2023-10-20|14:30:00|Stock Sale Proceeds|Robinhood|500.00
2022-03-15|16:00:00|Bonus Payment|Company XYZ|1000.00
2024-05-28|18:45:00|Consulting Fee|Freelancer Inc.|700.00
2020-11-11|20:15:00|Cashback Rewards|Discover Financial Services|50.00
2022-08-05|09:00:00|Selling Old Items|eBay Inc.|150.00
2023-04-09|11:20:00|Refund from Overcharged Bill|Utility Co.|75.00
2021-12-30|13:55:00|Gift Received|Family Member|200.00
